age,marital,dwelling,edu,foodins,weight,female,immigr,rural,children,household,joblose,finimpact,pfg,anx2,nmissingvars,finimp3,fooddich,_est_est1,_est_est2,_est_est3,_est_est4
7,2,4,7,0,866.1228,0,0,0,0,1,9,1,0,0,0,1,0,1,1,1,1
6,1,1,7,0,2056.049,0,0,1,0,2,0,1,0,0,0,1,0,1,1,1,1
4,1,1,6,0,1459.382,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
4,2,1,4,0,1960.88,0,0,1,0,2,0,2,0,0,0,2,0,1,1,1,1
2,1,3,7,0,2438.528,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
6,1,1,1,0,39626.87,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,4,2,0,4201.327,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,6,0,4317.771,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,3,3,3,0,5751.461,0,0,0,0,1,9,1,0,0,0,1,0,1,1,1,1
6,1,1,4,0,4898.607,0,1,0,0,2,9,5,0,0,0,3,0,1,1,1,1
5,1,1,7,0,1653.786,0,0,0,0,2,0,2,0,0,0,2,0,1,1,1,1
2,3,1,3,3,6754.697,0,0,0,0,3,9,4,1,1,0,2,1,1,1,1,1
5,2,3,4,3,2960.626,0,0,0,0,1,9,3,1,0,0,2,1,1,1,1,1
6,1,1,4,0,1551.071,0,0,0,0,2,9,2,0,0,1,2,0,1,1,1,1
5,1,3,5,0,2267.444,0,0,0,0,3,9,1,0,0,0,1,0,1,1,1,1
6,1,1,5,0,2237.882,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,7,0,1643.956,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
1,3,1,2,0,19972.6,0,1,0,0,3,9,1,0,0,0,1,0,1,1,1,1
6,2,1,2,0,1675.152,0,0,0,0,1,9,1,0,0,0,1,0,1,1,1,1
3,1,1,6,0,24616.26,0,1,0,0,5,0,2,1,0,0,2,0,1,1,1,1
5,1,1,2,0,3539.562,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
6,1,1,3,0,2218.536,0,1,0,0,2,9,3,0,1,0,2,0,1,1,1,1
6,2,1,4,1,2050.183,0,0,1,0,1,9,3,1,0,0,2,1,1,1,1,1
4,1,1,6,0,7806.399,0,0,0,0,4,0,5,1,0,0,3,0,1,1,1,1
5,1,1,7,0,16161.38,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
2,1,1,4,0,3307.566,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
6,1,1,7,0,1262.472,0,0,0,0,2,9,3,0,0,0,2,0,1,1,1,1
5,1,1,3,0,6584.658,0,0,0,0,2,9,3,1,0,0,2,0,1,1,1,1
6,1,1,1,0,11906.33,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
